STATUS | wrapper  | 2024/03/23 14:11:57 | TERM trapped.  Shutting down.
INFO   | jvm 1    | 2024/03/23 14:11:58 | 23-3월-2024 14:11:58.207 INFO [Thread-7] org.springframework.context.support.AbstractApplicationContext.doClose:985 - Closing org.apache.james.container.spring.context.JamesServerApplicationContext@1c5ef702: startup date [Sat Mar 23 14:03:23 KST 2024]; root of context hierarchy
INFO   | jvm 1    | 2024/03/23 14:11:58 | 2024-03-23 14:11:58,714 ActiveMQ BrokerService[james] Task-1 WARN Unable to register Log4j shutdown hook because JVM is shutting down. Using SimpleLogger
STATUS | wrapper  | 2024/03/23 14:11:59 | <-- Wrapper Stopped
STATUS | wrapper  | 2024/03/23 14:11:59 | --> Wrapper Started as Daemon
STATUS | wrapper  | 2024/03/23 14:11:59 | Launching a JVM...
INFO   | jvm 1    | 2024/03/23 14:12:01 | Wrapper (Version 3.2.3) http://wrapper.tanukisoftware.org
INFO   | jvm 1    | 2024/03/23 14:12:01 |   Copyright 1999-2006 Tanuki Software, Inc.  All Rights Reserved.
INFO   | jvm 1    | 2024/03/23 14:12:01 | 
INFO   | jvm 1    | 2024/03/23 14:12:02 | 23-3월-2024 14:12:02.470 WARN [WrapperSimpleAppMain] org.apache.james.app.spring.JamesAppSpringMain.main:50 - No authentication setted up for the JMX component. This expose you to local privilege escalation attacks risk. This can be done via the 'com.sun.management.jmxremote.password.file' system property.
INFO   | jvm 1    | 2024/03/23 14:12:02 | 23-3월-2024 14:12:02.551 INFO [WrapperSimpleAppMain] org.springframework.context.support.AbstractApplicationContext.prepareRefresh:583 - Refreshing org.apache.james.container.spring.context.JamesServerApplicationContext@3bf5fa5a: startup date [Sat Mar 23 14:12:02 KST 2024]; root of context hierarchy
INFO   | jvm 1    | 2024/03/23 14:12:02 | 23-3월-2024 14:12:02.598 INFO [WrapperSimpleAppMain] org.springframework.beans.factory.xml.XmlBeanDefinitionReader.loadBeanDefinitions:317 - Loading XML bean definitions from class path resource [META-INF/org/apache/james/spring-server.xml]
INFO   | jvm 1    | 2024/03/23 14:12:04 | 23-3월-2024 14:12:04.027 INFO [WrapperSimpleAppMain] org.springframework.beans.factory.xml.XmlBeanDefinitionReader.loadBeanDefinitions:317 - Loading XML bean definitions from class path resource [META-INF/spring/loaders-context.xml]
INFO   | jvm 1    | 2024/03/23 14:12:04 | 23-3월-2024 14:12:04.075 INFO [WrapperSimpleAppMain] org.springframework.beans.factory.xml.XmlBeanDefinitionReader.loadBeanDefinitions:317 - Loading XML bean definitions from class path resource [META-INF/org/apache/james/spring-mailbox-authenticator.xml]
INFO   | jvm 1    | 2024/03/23 14:12:04 | 23-3월-2024 14:12:04.118 INFO [WrapperSimpleAppMain] org.springframework.beans.factory.xml.XmlBeanDefinitionReader.loadBeanDefinitions:317 - Loading XML bean definitions from class path resource [META-INF/org/apache/james/spring-mailbox-authorizator.xml]
INFO   | jvm 1    | 2024/03/23 14:12:04 | 23-3월-2024 14:12:04.149 INFO [WrapperSimpleAppMain] org.springframework.beans.factory.xml.XmlBeanDefinitionReader.loadBeanDefinitions:317 - Loading XML bean definitions from class path resource [META-INF/spring/activemq-queue-context.xml]
INFO   | jvm 1    | 2024/03/23 14:12:04 | 23-3월-2024 14:12:04.182 INFO [WrapperSimpleAppMain] org.springframework.beans.factory.xml.XmlBeanDefinitionReader.loadBeanDefinitions:317 - Loading XML bean definitions from class path resource [META-INF/spring/mailetcontainer-context.xml]
INFO   | jvm 1    | 2024/03/23 14:12:04 | 23-3월-2024 14:12:04.201 INFO [WrapperSimpleAppMain] org.springframework.beans.factory.xml.XmlBeanDefinitionReader.loadBeanDefinitions:317 - Loading XML bean definitions from class path resource [META-INF/spring/dns-context.xml]
INFO   | jvm 1    | 2024/03/23 14:12:04 | 23-3월-2024 14:12:04.232 INFO [WrapperSimpleAppMain] org.springframework.beans.factory.xml.XmlBeanDefinitionReader.loadBeanDefinitions:317 - Loading XML bean definitions from class path resource [META-INF/spring/fetchmail-context.xml]
INFO   | jvm 1    | 2024/03/23 14:12:04 | 23-3월-2024 14:12:04.254 INFO [WrapperSimpleAppMain] org.springframework.beans.factory.xml.XmlBeanDefinitionReader.loadBeanDefinitions:317 - Loading XML bean definitions from class path resource [META-INF/spring/smtpserver-context.xml]
INFO   | jvm 1    | 2024/03/23 14:12:04 | 23-3월-2024 14:12:04.278 INFO [WrapperSimpleAppMain] org.springframework.beans.factory.xml.XmlBeanDefinitionReader.loadBeanDefinitions:317 - Loading XML bean definitions from class path resource [META-INF/spring/lmtpserver-context.xml]
INFO   | jvm 1    | 2024/03/23 14:12:04 | 23-3월-2024 14:12:04.306 INFO [WrapperSimpleAppMain] org.springframework.beans.factory.xml.XmlBeanDefinitionReader.loadBeanDefinitions:317 - Loading XML bean definitions from class path resource [META-INF/spring/pop3server-context.xml]
